reservation_date,Predicted,Price recommended,Price Current,New Revenue,Old Revenue,,,,Rooms,Price,Bar
1/1/20,10.5900116,$89,$79,$943,$837,,,,0,$79 ,Bar-1
1/2/20,10.61842346,$89,$79,$945,$839,,Yearly Increase in Profit,,1,$79 ,Bar-1
1/3/20,12.63194275,$89,$79,"$1,124",$998,,"$24,609",,2,$79 ,Bar-1
1/4/20,13.90156555,$89,$79,"$1,237","$1,098",,,,3,$79 ,Bar-1
1/5/20,8.331039429,$79,$79,$658,$658,,Esttimae % Increase,,4,$79 ,Bar-1
1/6/20,10.19691467,$89,$79,$908,$806,,9.27%,,5,$79 ,Bar-1
1/7/20,11.31938171,$89,$79,"$1,007",$894,,,,6,$79 ,Bar-1
1/8/20,11.93348694,$89,$79,"$1,062",$943,,,,7,$79 ,Bar-1
1/9/20,11.9618988,$89,$79,"$1,065",$945,,,,8,$79 ,Bar-1
1/10/20,13.97541809,$89,$79,"$1,244","$1,104",,,,9,$79 ,Bar-1
1/11/20,15.24504089,$89,$79,"$1,357","$1,204",,,,10,$89 ,Bar-2
1/12/20,9.674514771,$89,$79,$861,$764,,,,11,$89 ,Bar-2
1/13/20,11.15028381,$89,$79,$992,$881,,,,12,$89 ,Bar-2
1/14/20,12.27275085,$89,$79,"$1,092",$970,,,,13,$89 ,Bar-2
1/15/20,12.88685608,$89,$79,"$1,147","$1,018",,,,14,$89 ,Bar-2
1/16/20,12.91526794,$89,$79,"$1,149","$1,020",,,,15,$89 ,Bar-2
1/17/20,14.92878723,$89,$79,"$1,329","$1,179",,,,16,$89 ,Bar-2
1/18/20,16.19841003,$89,$79,"$1,442","$1,280",,,,17,$99 ,Bar-3
1/19/20,10.62788391,$89,$79,$946,$840,,,,18,$99 ,Bar-3
1/20/20,11.0643158,$89,$79,$985,$874,,,,19,$99 ,Bar-3
1/21/20,12.18675232,$89,$79,"$1,085",$963,,,,20,$99 ,Bar-3
1/22/20,12.80088806,$89,$79,"$1,139","$1,011",,,,21,$109 ,Bar-4
1/23/20,12.82926941,$89,$79,"$1,142","$1,014",,,,22,$109 ,Bar-4
1/24/20,14.84281921,$89,$79,"$1,321","$1,173",,,,23,$109 ,Bar-4
1/25/20,16.1124115,$89,$79,"$1,434","$1,273",,,,24,$109 ,Bar-4
1/26/20,10.54191589,$89,$79,$938,$833,,,,,,
1/27/20,13.55049133,$89,$79,"$1,206","$1,070",,,,,,
1/28/20,14.67295837,$89,$79,"$1,306","$1,159",,,,,,
1/29/20,15.2870636,$89,$79,"$1,361","$1,208",,,,,,
1/30/20,15.31547546,$89,$79,"$1,363","$1,210",,,,,,
1/31/20,17.32899475,$99,$79,"$1,716","$1,369",,,,,,
2/1/20,17.56632996,$99,$79,"$1,739","$1,388",,,,,,
2/2/20,11.99580383,$89,$79,"$1,068",$948,,,,,,
2/3/20,10.43083191,$89,$79,$928,$824,,,,,,
2/4/20,11.55329895,$89,$79,"$1,028",$913,,,,,,
2/5/20,12.16740417,$89,$79,"$1,083",$961,,,,,,
2/6/20,12.19581604,$89,$79,"$1,085",$963,,,,,,
2/7/20,14.20933533,$89,$79,"$1,265","$1,123",,,,,,
2/8/20,15.47895813,$89,$79,"$1,378","$1,223",,,,,,
2/9/20,9.908432007,$89,$79,$882,$783,,,,,,
2/10/20,13.2374115,$89,$79,"$1,178","$1,046",,,,,,
2/11/20,14.35987854,$89,$79,"$1,278","$1,134",,,,,,
2/12/20,14.97398376,$89,$79,"$1,333","$1,183",,,,,,
2/13/20,15.00239563,$89,$79,"$1,335","$1,185",,,,,,
2/14/20,17.01591492,$99,$79,"$1,685","$1,344",,,,,,
2/15/20,18.28553772,$99,$79,"$1,810","$1,445",,,,,,
2/16/20,12.7150116,$89,$79,"$1,132","$1,004",,,,,,
2/17/20,13.1516571,$89,$79,"$1,170","$1,039",,,,,,
2/18/20,14.27412415,$89,$79,"$1,270","$1,128",,,,,,
2/19/20,14.88822937,$89,$79,"$1,325","$1,176",,,,,,
2/20/20,14.91664124,$89,$79,"$1,328","$1,178",,,,,,
2/21/20,16.93016052,$99,$79,"$1,676","$1,337",,,,,,
2/22/20,18.19978333,$99,$79,"$1,802","$1,438",,,,,,
2/23/20,12.6292572,$89,$79,"$1,124",$998,,,,,,
2/24/20,15.13468933,$89,$79,"$1,347","$1,196",,,,,,
2/25/20,16.25715637,$89,$79,"$1,447","$1,284",,,,,,
2/26/20,16.8712616,$99,$79,"$1,670","$1,333",,,,,,
2/27/20,16.89967346,$99,$79,"$1,673","$1,335",,,,,,
2/28/20,18.91319275,$99,$79,"$1,872","$1,494",,,,,,
2/29/20,20.18281555,$99,$79,"$1,998","$1,594",,,,,,
3/1/20,11.0219574,$89,$79,$981,$871,,,,,,
3/2/20,14.61665344,$89,$79,"$1,301","$1,155",,,,,,
3/3/20,15.73912048,$89,$79,"$1,401","$1,243",,,,,,
3/4/20,16.35319519,$89,$79,"$1,455","$1,292",,,,,,
3/5/20,16.38163757,$89,$79,"$1,458","$1,294",,,,,,
3/6/20,18.39515686,$99,$79,"$1,821","$1,453",,,,,,
3/7/20,19.66477966,$99,$79,"$1,947","$1,554",,,,,,
3/8/20,14.09422302,$89,$79,"$1,254","$1,113",,,,,,
3/9/20,13.53462219,$89,$79,"$1,205","$1,069",,,,,,
3/10/20,14.65705872,$89,$79,"$1,304","$1,158",,,,,,
3/11/20,15.27116394,$89,$79,"$1,359","$1,206",,,,,,
3/12/20,15.29960632,$89,$79,"$1,362","$1,209",,,,,,
3/13/20,17.31312561,$99,$79,"$1,714","$1,368",,,,,,
3/14/20,18.58274841,$99,$79,"$1,840","$1,468",,,,,,
3/15/20,13.01219177,$89,$79,"$1,158","$1,028",,,,,,
3/16/20,14.83714294,$89,$79,"$1,321","$1,172",,,,,,
3/17/20,15.95957947,$89,$79,"$1,420","$1,261",,,,,,
3/18/20,16.57368469,$99,$79,"$1,641","$1,309",,,,,,
3/19/20,16.60212708,$99,$79,"$1,644","$1,312",,,,,,
3/20/20,18.61564636,$99,$79,"$1,843","$1,471",,,,,,
3/21/20,19.88526917,$99,$79,"$1,969","$1,571",,,,,,
3/22/20,14.31471252,$89,$79,"$1,274","$1,131",,,,,,
3/23/20,12.86979675,$89,$79,"$1,145","$1,017",,,,,,
3/24/20,13.99226379,$89,$79,"$1,245","$1,105",,,,,,
3/25/20,14.60636902,$89,$79,"$1,300","$1,154",,,,,,
3/26/20,14.6348114,$89,$79,"$1,302","$1,156",,,,,,
3/27/20,16.64830017,$99,$79,"$1,648","$1,315",,,,,,
3/28/20,17.91795349,$99,$79,"$1,774","$1,416",,,,,,
3/29/20,12.34739685,$89,$79,"$1,099",$975,,,,,,
3/30/20,17.29624939,$99,$79,"$1,712","$1,366",,,,,,
3/31/20,18.41868591,$99,$79,"$1,823","$1,455",,,,,,
4/1/20,13.0839386,$89,$79,"$1,164","$1,034",,,,,,
4/2/20,13.11235046,$89,$79,"$1,167","$1,036",,,,,,
4/3/20,15.12586975,$89,$79,"$1,346","$1,195",,,,,,
4/4/20,16.39549255,$89,$79,"$1,459","$1,295",,,,,,
4/5/20,10.82496643,$89,$79,$963,$855,,,,,,
4/6/20,8.881332397,$79,$79,$702,$702,,,,,,
4/7/20,10.00379944,$89,$79,$890,$790,,,,,,
4/8/20,10.61790466,$89,$79,$945,$839,,,,,,
4/9/20,10.64631653,$89,$79,$948,$841,,,,,,
4/10/20,12.65983582,$89,$79,"$1,127","$1,000",,,,,,
4/11/20,13.92945862,$89,$79,"$1,240","$1,100",,,,,,
4/12/20,8.358932495,$79,$79,$660,$660,,,,,,
4/13/20,6.792892456,$79,$79,$537,$537,,,,,,
4/14/20,7.915359497,$79,$79,$625,$625,,,,,,
4/15/20,8.529464722,$79,$79,$674,$674,,,,,,
4/16/20,8.557876587,$79,$79,$676,$676,,,,,,
4/17/20,10.57139587,$89,$79,$941,$835,,,,,,
4/18/20,11.84101868,$89,$79,"$1,054",$935,,,,,,
4/19/20,6.270492554,$79,$79,$495,$495,,,,,,
4/20/20,7.236221313,$79,$79,$572,$572,,,,,,
4/21/20,8.358688354,$79,$79,$660,$660,,,,,,
4/22/20,8.972793579,$79,$79,$709,$709,,,,,,
4/23/20,9.001205444,$79,$79,$711,$711,,,,,,
4/24/20,11.01472473,$89,$79,$980,$870,,,,,,
4/25/20,12.28434753,$89,$79,"$1,093",$970,,,,,,
4/26/20,6.713821411,$79,$79,$530,$530,,,,,,
4/27/20,7.447189331,$79,$79,$588,$588,,,,,,
4/28/20,8.569656372,$79,$79,$677,$677,,,,,,
4/29/20,9.183761597,$79,$79,$726,$726,,,,,,
4/30/20,9.212173462,$79,$79,$728,$728,,,,,,
5/1/20,12.71928406,$89,$79,"$1,132","$1,005",,,,,,
5/2/20,13.98890686,$89,$79,"$1,245","$1,105",,,,,,
5/3/20,8.418380737,$79,$79,$665,$665,,,,,,
5/4/20,7.160629272,$79,$79,$566,$566,,,,,,
5/5/20,8.283096313,$79,$79,$654,$654,,,,,,
5/6/20,8.897201538,$79,$79,$703,$703,,,,,,
5/7/20,8.925613403,$79,$79,$705,$705,,,,,,
5/8/20,10.93913269,$89,$79,$974,$864,,,,,,
5/9/20,12.20875549,$89,$79,"$1,087",$964,,,,,,
5/10/20,6.63822937,$79,$79,$524,$524,,,,,,
5/11/20,7.027572632,$79,$79,$555,$555,,,,,,
5/12/20,8.15007019,$79,$79,$644,$644,,,,,,
5/13/20,8.764144897,$79,$79,$692,$692,,,,,,
5/14/20,8.79258728,$79,$79,$695,$695,,,,,,
5/15/20,10.80607605,$89,$79,$962,$854,,,,,,
5/16/20,12.07572937,$89,$79,"$1,075",$954,,,,,,
