reservation_date,Predicted
1/1/20,10.5900116
1/2/20,10.61842346
1/3/20,12.63194275
1/4/20,13.90156555
1/5/20,8.331039429
1/6/20,10.19691467
1/7/20,11.31938171
1/8/20,11.93348694
1/9/20,11.9618988
1/10/20,13.97541809
1/11/20,15.24504089
1/12/20,9.674514771
1/13/20,11.15028381
1/14/20,12.27275085
1/15/20,12.88685608
1/16/20,12.91526794
1/17/20,14.92878723
1/18/20,16.19841003
1/19/20,10.62788391
1/20/20,11.0643158
1/21/20,12.18675232
1/22/20,12.80088806
1/23/20,12.82926941
1/24/20,14.84281921
1/25/20,16.1124115
1/26/20,10.54191589
1/27/20,13.55049133
1/28/20,14.67295837
1/29/20,15.2870636
1/30/20,15.31547546
1/31/20,17.32899475
2/1/20,17.56632996
2/2/20,11.99580383
2/3/20,10.43083191
2/4/20,11.55329895
2/5/20,12.16740417
2/6/20,12.19581604
2/7/20,14.20933533
2/8/20,15.47895813
2/9/20,9.908432007
2/10/20,13.2374115
2/11/20,14.35987854
2/12/20,14.97398376
2/13/20,15.00239563
2/14/20,17.01591492
2/15/20,18.28553772
2/16/20,12.7150116
2/17/20,13.1516571
2/18/20,14.27412415
2/19/20,14.88822937
2/20/20,14.91664124
2/21/20,16.93016052
2/22/20,18.19978333
2/23/20,12.6292572
2/24/20,15.13468933
2/25/20,16.25715637
2/26/20,16.8712616
2/27/20,16.89967346
2/28/20,18.91319275
2/29/20,20.18281555
3/1/20,11.0219574
3/2/20,14.61665344
3/3/20,15.73912048
3/4/20,16.35319519
3/5/20,16.38163757
3/6/20,18.39515686
3/7/20,19.66477966
3/8/20,14.09422302
3/9/20,13.53462219
3/10/20,14.65705872
3/11/20,15.27116394
3/12/20,15.29960632
3/13/20,17.31312561
3/14/20,18.58274841
3/15/20,13.01219177
3/16/20,14.83714294
3/17/20,15.95957947
3/18/20,16.57368469
3/19/20,16.60212708
3/20/20,18.61564636
3/21/20,19.88526917
3/22/20,14.31471252
3/23/20,12.86979675
3/24/20,13.99226379
3/25/20,14.60636902
3/26/20,14.6348114
3/27/20,16.64830017
3/28/20,17.91795349
3/29/20,12.34739685
3/30/20,17.29624939
3/31/20,18.41868591
4/1/20,13.0839386
4/2/20,13.11235046
4/3/20,15.12586975
4/4/20,16.39549255
4/5/20,10.82496643
4/6/20,8.881332397
4/7/20,10.00379944
4/8/20,10.61790466
4/9/20,10.64631653
4/10/20,12.65983582
4/11/20,13.92945862
4/12/20,8.358932495
4/13/20,6.792892456
4/14/20,7.915359497
4/15/20,8.529464722
4/16/20,8.557876587
4/17/20,10.57139587
4/18/20,11.84101868
4/19/20,6.270492554
4/20/20,7.236221313
4/21/20,8.358688354
4/22/20,8.972793579
4/23/20,9.001205444
4/24/20,11.01472473
4/25/20,12.28434753
4/26/20,6.713821411
4/27/20,7.447189331
4/28/20,8.569656372
4/29/20,9.183761597
4/30/20,9.212173462
5/1/20,12.71928406
5/2/20,13.98890686
5/3/20,8.418380737
5/4/20,7.160629272
5/5/20,8.283096313
5/6/20,8.897201538
5/7/20,8.925613403
5/8/20,10.93913269
5/9/20,12.20875549
5/10/20,6.63822937
5/11/20,7.027572632
5/12/20,8.15007019
5/13/20,8.764144897
5/14/20,8.79258728
5/15/20,10.80607605
5/16/20,12.07572937
5/17/20,6.505172729
5/18/20,11.42674255
5/19/20,12.54920959
5/20/20,13.16331482
5/21/20,13.19172668
5/22/20,15.20524597
5/23/20,16.47486877
5/24/20,10.90434265
5/25/20,1.470840454
5/26/20,2.593307495
5/27/20,3.20741272
5/28/20,3.235824585
5/29/20,5.249343872
5/30/20,6.518966675
5/31/20,0.948440552
6/1/20,3.726577759
6/2/20,4.849014282
6/3/20,5.463150024
6/4/20,5.491592407
6/5/20,7.505081177
6/6/20,8.774734497
6/7/20,3.204177856
6/8/20,3.746841431
6/9/20,4.869277954
6/10/20,5.483352661
6/11/20,5.511795044
6/12/20,7.525283813
6/13/20,8.794937134
6/14/20,3.224380493
6/15/20,5.127822876
6/16/20,6.250259399
6/17/20,6.864395142
6/18/20,6.892837524
6/19/20,8.906326294
6/20/20,10.17597961
6/21/20,4.605422974
6/22/20,3.145401001
6/23/20,4.267837524
6/24/20,4.881973267
6/25/20,4.910415649
6/26/20,6.923843384
6/27/20,8.193496704
6/28/20,2.622940063
6/29/20,1.232437134
6/30/20,2.354873657
7/1/20,5.140304565
7/2/20,5.168777466
7/3/20,7.182327271
7/4/20,8.451980591
7/5/20,2.88142395
7/6/20,3.921218872
7/7/20,5.043777466
7/8/20,5.657791138
7/9/20,5.686233521
7/10/20,7.699783325
7/11/20,8.969436646
7/12/20,3.398880005
7/13/20,4.36579895
7/14/20,5.488357544
7/15/20,6.102371216
7/16/20,6.130813599
7/17/20,8.144363403
7/18/20,9.414016724
7/19/20,3.843460083
7/20/20,5.793411255
7/21/20,6.915969849
7/22/20,7.529983521
7/23/20,7.558425903
7/24/20,9.571975708
7/25/20,10.84162903
7/26/20,5.271072388
7/27/20,3.585769653
7/28/20,4.708328247
7/29/20,5.322341919
7/30/20,5.350784302
7/31/20,7.364334106
8/1/20,9.774490356
8/2/20,4.203933716
8/3/20,4.710769653
8/4/20,5.833328247
8/5/20,6.447341919
8/6/20,6.475784302
8/7/20,8.489334106
8/8/20,9.758987427
8/9/20,4.188430786
8/10/20,5.98664856
8/11/20,7.109207153
8/12/20,7.723220825
8/13/20,7.751663208
8/14/20,9.765213013
8/15/20,11.03486633
8/16/20,5.464309692
8/17/20,5.32673645
8/18/20,6.449295044
8/19/20,7.063308716
8/20/20,7.091751099
8/21/20,9.105300903
8/22/20,10.37495422
8/23/20,4.804397583
8/24/20,2.548660278
8/25/20,3.671218872
8/26/20,4.285232544
8/27/20,4.313674927
8/28/20,6.327224731
8/29/20,7.596878052
8/30/20,2.026321411
8/31/20,0.340866089
9/1/20,4.196090698
9/2/20,4.81022644
9/3/20,4.838668823
9/4/20,6.852157593
9/5/20,8.121810913
9/6/20,2.551254272
9/7/20,4.309799194
9/8/20,5.432235718
9/9/20,6.04637146
9/10/20,6.074813843
9/11/20,8.088302612
9/12/20,9.357955933
9/13/20,3.787399292
9/14/20,4.787887573
9/15/20,5.910324097
9/16/20,6.524459839
9/17/20,6.552902222
9/18/20,8.566390991
9/19/20,9.836044312
9/20/20,4.265487671
9/21/20,4.07749939
9/22/20,5.199935913
9/23/20,5.814071655
9/24/20,5.842514038
9/25/20,7.856002808
9/26/20,9.125656128
9/27/20,3.555099487
9/28/20,3.224533081
9/29/20,4.346969604
9/30/20,4.961105347
10/1/20,7.872817993
10/2/20,9.88633728
10/3/20,11.15596008
10/4/20,5.58543396
10/5/20,6.085250854
10/6/20,7.207717896
10/7/20,7.82182312
10/8/20,7.850234985
10/9/20,9.863754272
10/10/20,11.13337708
10/11/20,5.562850952
10/12/20,7.24961853
10/13/20,8.372085571
10/14/20,8.986190796
10/15/20,9.014602661
10/16/20,11.02812195
10/17/20,12.29774475
10/18/20,6.727218628
10/19/20,8.653305054
10/20/20,9.775772095
10/21/20,10.38987732
10/22/20,10.41828918
10/23/20,12.43180847
10/24/20,13.70143127
10/25/20,8.130905151
10/26/20,6.038131714
10/27/20,7.160629272
10/28/20,7.774703979
10/29/20,7.803146362
10/30/20,9.816635132
10/31/20,11.08628845
11/1/20,7.319381714
11/2/20,6.460952759
11/3/20,7.5834198
11/4/20,8.197525024
11/5/20,8.22593689
11/6/20,10.23945618
11/7/20,11.50907898
11/8/20,5.938552856
11/9/20,5.277755737
11/10/20,6.400222778
11/11/20,7.014328003
11/12/20,7.042739868
11/13/20,9.056259155
11/14/20,10.32588196
11/15/20,4.755355835
11/16/20,2.69303894
