,avg_daily_rate,booking_date,rate_type,reservation_date,reservation_date_short,reservation_no,reservation_weekday,room_no,room_type,total_nights,total_rate,Room Count,Month,Week,Quarter,Season
0,57.56,2018-10-09,Best Available Rate,2018-10-09,"09, October",10400,Tuesday,210,Double ,2,115.12,1,10,41,4,Fall
1,57.56,2018-10-09,Best Available Rate,2018-10-10,"10, October",10400,Wednesday,210,Double ,2,115.12,1,10,41,4,Fall
2,57.56,2018-10-11,Booking.com,2018-10-11,"11, October",10431,Thursday,104,Double ,1,57.56,1,10,41,4,Fall
3,57.56,2018-11-03,Best Available Rate,2018-11-03,"03, November",10686,Saturday,106,Double ,1,57.56,1,11,44,4,Fall
4,57.56,2018-11-14,Best Available Rate,2018-11-14,"14, November",10870,Wednesday,104,Double ,1,57.56,1,11,46,4,Fall
5,57.56,2018-11-14,Best Available Rate,2018-11-14,"14, November",10872,Wednesday,106,Double ,1,57.56,1,11,46,4,Fall
6,57.56,2018-11-14,Best Available Rate,2018-11-14,"14, November",10873,Wednesday,112,Upscale King,1,57.56,1,11,46,4,Fall
7,57.56,2018-11-25,Best Available Rate,2018-11-26,"26, November",11001,Monday,201,King,2,115.12,1,11,48,4,Fall
8,57.56,2018-11-25,Best Available Rate,2018-11-27,"27, November",11001,Tuesday,201,King,2,115.12,1,11,48,4,Fall
9,57.56,2018-11-28,Best Available Rate,2018-11-28,"28, November",12047,Wednesday,201,King,1,57.56,1,11,48,4,Fall
10,57.56,2018-11-28,Best Available Rate,2018-11-28,"28, November",12051,Wednesday,209,Double ,1,57.56,1,11,48,4,Fall
11,57.56333333333333,2018-09-25,Best Available Rate,2018-09-25,"25, September",10274,Tuesday,104,Double ,3,172.69,1,9,39,3,Fall
12,57.56333333333333,2018-09-25,Best Available Rate,2018-09-26,"26, September",10274,Wednesday,104,Double ,3,172.69,1,9,39,3,Fall
13,57.56333333333333,2018-09-25,Best Available Rate,2018-09-27,"27, September",10274,Thursday,104,Double ,3,172.69,1,9,39,3,Fall
14,57.625,2019-01-22,Expedia,2019-01-22,"22, January",12734,Tuesday,204,King,2,115.25,1,1,4,1,Winter
15,57.625,2019-01-22,Expedia,2019-01-23,"23, January",12734,Wednesday,204,King,2,115.25,1,1,4,1,Winter
16,57.625,2019-01-22,Expedia,2019-01-22,"22, January",12736,Tuesday,202,King,2,115.25,1,1,4,1,Winter
17,57.625,2019-01-22,Expedia,2019-01-23,"23, January",12736,Wednesday,202,King,2,115.25,1,1,4,1,Winter
18,57.625,2019-01-28,Expedia,2019-01-30,"30, January",12811,Wednesday,101,Double ,2,115.25,1,1,5,1,Winter
19,57.625,2019-01-28,Expedia,2019-01-31,"31, January",12811,Thursday,101,Double ,2,115.25,1,1,5,1,Winter
20,57.625,2019-07-11,Expedia,2019-07-25,"25, July",14944,Thursday,201,King,2,115.25,1,7,30,3,Summer
21,57.625,2019-07-11,Expedia,2019-07-26,"26, July",14944,Friday,201,King,2,115.25,1,7,30,3,Summer
22,57.625,2019-09-14,Expedia,2019-09-14,"14, September",15471,Saturday,205,King,2,115.25,1,9,37,3,Fall
23,57.625,2019-09-14,Expedia,2019-09-15,"15, September",15471,Sunday,205,King,2,115.25,1,9,37,3,Fall
24,57.75,2016-07-26,Expedia,2016-07-27,"27, July",267,Wednesday,109,Double ,4,231.0,1,7,30,3,Summer
25,57.75,2016-07-26,Expedia,2016-07-28,"28, July",267,Thursday,109,Double ,4,231.0,1,7,30,3,Summer
26,57.75,2016-07-26,Expedia,2016-07-29,"29, July",267,Friday,109,Double ,4,231.0,1,7,30,3,Summer
27,57.75,2016-07-26,Expedia,2016-07-30,"30, July",267,Saturday,109,Double ,4,231.0,1,7,30,3,Summer
28,57.75,2016-09-10,Expedia,2016-09-11,"11, September",864,Sunday,106,Double ,5,288.75,1,9,36,3,Fall
29,57.75,2016-09-10,Expedia,2016-09-12,"12, September",864,Monday,106,Double ,5,288.75,1,9,37,3,Fall
30,57.75,2016-09-10,Expedia,2016-09-13,"13, September",864,Tuesday,106,Double ,5,288.75,1,9,37,3,Fall
31,57.75,2016-09-10,Expedia,2016-09-14,"14, September",864,Wednesday,106,Double ,5,288.75,1,9,37,3,Fall
32,57.75,2016-09-10,Expedia,2016-09-15,"15, September",864,Thursday,106,Double ,5,288.75,1,9,37,3,Fall
33,57.75,2016-09-10,Expedia,2016-09-11,"11, September",865,Sunday,109,Double ,5,288.75,1,9,36,3,Fall
34,57.75,2016-09-10,Expedia,2016-09-12,"12, September",865,Monday,109,Double ,5,288.75,1,9,37,3,Fall
35,57.75,2016-09-10,Expedia,2016-09-13,"13, September",865,Tuesday,109,Double ,5,288.75,1,9,37,3,Fall
36,57.75,2016-09-10,Expedia,2016-09-14,"14, September",865,Wednesday,109,Double ,5,288.75,1,9,37,3,Fall
37,57.75,2016-09-10,Expedia,2016-09-15,"15, September",865,Thursday,109,Double ,5,288.75,1,9,37,3,Fall
38,58.0,2016-09-03,Best Available Rate,2016-09-03,"03, September",762,Saturday,104,Double ,1,58.0,1,9,35,3,Fall
39,58.0,2016-09-03,Best Available Rate,2016-09-03,"03, September",769,Saturday,109,Double ,1,58.0,1,9,35,3,Fall
40,58.0,2017-04-17,Expedia,2017-04-20,"20, April",3794,Thursday,107,King,1,58.0,1,4,16,2,Spring
41,58.0,2017-04-18,Expedia,2017-04-18,"18, April",3816,Tuesday,202,King,2,116.0,1,4,16,2,Spring
42,58.0,2017-04-18,Expedia,2017-04-19,"19, April",3816,Wednesday,202,King,2,116.0,1,4,16,2,Spring
43,58.0,2017-04-18,Expedia,2017-04-19,"19, April",3820,Wednesday,207,King,1,58.0,1,4,16,2,Spring
44,58.0,2017-04-19,Expedia,2017-04-19,"19, April",3839,Wednesday,211,Upscale King,1,58.0,1,4,16,2,Spring
45,58.0,2017-04-19,Expedia,2017-04-19,"19, April",3844,Wednesday,201,King,1,58.0,1,4,16,2,Spring
46,58.0,2017-05-02,Expedia,2017-05-02,"02, May",4135,Tuesday,108,Double ,1,58.0,1,5,18,2,Spring
47,58.0,2017-05-24,Best Available Rate,2017-07-02,"02, July",4348,Sunday,204,King,1,58.0,1,7,26,3,Summer
48,58.0,2017-07-01,Expedia,2017-07-01,"01, July",4702,Saturday,111,Upscale Jacuzzi King,1,58.0,1,7,26,3,Summer
49,58.0,2017-07-02,Best Available Rate,2017-07-02,"02, July",4715,Sunday,105,Premier King,1,58.0,1,7,26,3,Summer
50,58.0,2017-07-02,Best Available Rate,2017-07-03,"03, July",4714,Monday,103,King,1,58.0,1,7,27,3,Summer
51,58.0,2017-07-02,Best Available Rate,2017-07-02,"02, July",4719,Sunday,203,King,1,58.0,1,7,26,3,Summer
52,58.0,2017-07-03,Best Available Rate,2017-07-03,"03, July",4732,Monday,104,Double ,1,58.0,1,7,27,3,Summer
53,58.0,2017-09-04,Best Available Rate,2017-09-03,"03, September",5511,Sunday,112,Upscale King,1,58.0,1,9,35,3,Fall
54,58.0,2017-07-02,Best Available Rate,2017-07-02,"02, July",4726,Sunday,109,Double ,1,58.0,1,7,26,3,Summer
55,58.0,2017-07-03,Best Available Rate,2017-07-04,"04, July",4734,Tuesday,103,King,1,58.0,1,7,27,3,Summer
56,58.0,2017-07-05,Best Available Rate,2017-07-05,"05, July",4763,Wednesday,204,King,1,58.0,1,7,27,3,Summer
57,58.0,2017-07-06,Best Available Rate,2017-07-06,"06, July",4766,Thursday,108,Double ,1,58.0,1,7,27,3,Summer
58,58.0,2017-07-06,Best Available Rate,2017-07-06,"06, July",4769,Thursday,204,King,1,58.0,1,7,27,3,Summer
59,58.0,2017-07-06,Best Available Rate,2017-07-06,"06, July",4770,Thursday,109,Double ,1,58.0,1,7,27,3,Summer
60,58.0,2017-07-07,Expedia,2017-07-07,"07, July",4782,Friday,104,Double ,1,58.0,1,7,27,3,Summer
61,58.0,2017-07-13,Expedia,2017-07-14,"14, July",4856,Friday,205,King,1,58.0,1,7,28,3,Summer
62,58.0,2017-07-23,Best Available Rate,2017-07-23,"23, July",4926,Sunday,202,King,1,58.0,1,7,29,3,Summer
63,58.0,2017-07-24,Expedia,2017-07-26,"26, July",4962,Wednesday,204,King,1,58.0,1,7,30,3,Summer
64,58.0,2017-07-24,Expedia,2017-07-28,"28, July",4969,Friday,108,Double ,2,116.0,1,7,30,3,Summer
65,58.0,2017-07-24,Expedia,2017-07-29,"29, July",4969,Saturday,108,Double ,2,116.0,1,7,30,3,Summer
66,58.0,2017-07-27,Expedia,2017-07-28,"28, July",5118,Friday,204,King,2,116.0,1,7,30,3,Summer
67,58.0,2017-07-27,Expedia,2017-07-29,"29, July",5118,Saturday,204,King,2,116.0,1,7,30,3,Summer
68,58.0,2017-08-01,Expedia,2017-08-02,"02, August",5182,Wednesday,203,King,1,58.0,1,8,31,3,Summer
69,58.0,2017-08-07,Expedia,2017-08-08,"08, August",5227,Tuesday,207,King,1,58.0,1,8,32,3,Summer
70,58.0,2017-08-07,Expedia,2017-08-09,"09, August",5228,Wednesday,204,King,1,58.0,1,8,32,3,Summer
71,58.0,2017-08-24,Expedia,2017-08-30,"30, August",5414,Wednesday,205,King,1,58.0,1,8,35,3,Summer
72,58.0,2017-08-25,Expedia,2017-08-25,"25, August",5426,Friday,103,King,1,58.0,1,8,34,3,Summer
73,58.0,2017-08-26,Expedia,2017-08-28,"28, August",5441,Monday,206,Double ,3,174.0,1,8,35,3,Summer
74,58.0,2017-08-26,Expedia,2017-08-29,"29, August",5441,Tuesday,206,Double ,3,174.0,1,8,35,3,Summer
75,58.0,2017-08-26,Expedia,2017-08-30,"30, August",5441,Wednesday,206,Double ,3,174.0,1,8,35,3,Summer
76,58.0,2017-09-26,Expedia,2017-09-26,"26, September",5813,Tuesday,206,Double ,1,58.0,1,9,39,3,Fall
77,58.0,2017-11-21,Expedia,2017-11-22,"22, November",6366,Wednesday,202,King,1,58.0,1,11,47,4,Fall
