Reservation_No,DateMade_Short,Arrive_Date_Short,Nights,TotalRate,Room Type,Room,City,State,Zip Code,Rate_Type
1,28/06/2016,21/07/2016,3,258.02,Double ,210,Bellevue,WA,98004,Best Available Rate
13,28/06/2016,14/07/2016,3,223.5,Double ,108,Aurora,IL,60506,Best Available Rate
15,28/06/2016,14/07/2016,1,420,Double ,208,,,,Best Available Rate
16,28/06/2016,16/07/2016,1,66.8,King,107,Bellevue,WA,98004,Best Available Rate
17,28/06/2016,17/07/2016,4,540,Rubideaux Condo,Rub #4,Seattle,WA,98117,Best Available Rate
18,28/06/2016,21/07/2016,3,258,Double ,106,Bellevue,WA,98004,Best Available Rate
19,28/06/2016,21/07/2016,3,283.82,Premier King,105,Bellevue,WA,98004,Best Available Rate
20,28/06/2016,22/07/2016,2,206,King,203,Snellville,FL,30039,Best Available Rate
1340,17/10/2016,30/10/2016,2,158,Sweetheart King,102,Palm Coast,FL,32137,Best Available Rate
24,28/06/2016,25/07/2016,2,247,Double ,106,Reddick,MA,32686,Best Available Rate
27,28/06/2016,25/07/2016,2,196.4,King,203,Jacksonville,FL,32223,Best Available Rate
28,28/06/2016,25/07/2016,3,408,Premier King,110,Miami,FL,33183,Best Available Rate
30,28/06/2016,25/07/2016,2,196.4,King,107,Port Orange,FL,32127,Best Available Rate
31,28/06/2016,25/07/2016,2,208.6,Double ,101,Davie,FL,33328,Best Available Rate
33,28/06/2016,26/07/2016,1,119,Double ,209,Kissimmee,FL,34741,Best Available Rate
34,28/06/2016,26/07/2016,1,119,King,205,Fort Lauderdale,FL,33312,Best Available Rate
7520,6/2/2018,3/3/2018,2,256,King,107,Yellow Springs,OH,45387,Best Available Rate
37,28/06/2016,30/07/2016,1,109,King,203,Fleming Island,FL,32003,Best Available Rate
38,28/06/2016,31/07/2016,1,109,Premier King,105,West Chester,OH,45069,Best Available Rate
259,25/07/2016,1/8/2016,30,1200,King,203,Tampa,FL,33606,Best Available Rate
40,28/06/2016,1/7/2016,21,1200,King,207,,,,Best Available Rate
10948,19/11/2018,19/11/2018,3,0,Premier King,105,,,,Comped Rate
203,17/07/2016,18/07/2016,4,323,Double ,101,Tampa,FL,33611,Best Available Rate
46,29/06/2016,4/8/2016,3,246.4,Double ,206,Tampa,FL,33605,Best Available Rate
47,29/06/2016,25/07/2016,2,193.6,Double ,104,Bellevue,WA,98004,Best Available Rate
48,29/06/2016,22/07/2016,2,226,Double ,109,Tallahassee,FL,32303,Best Available Rate
50,30/06/2016,4/8/2016,3,267.3,King,207,FORT WALTON BEACH,FL,32547,Best Available Rate
51,30/06/2016,6/8/2016,1,149,Premier King,110,Altamonte Springs,Fl,32701,Best Available Rate
53,1/7/2016,25/07/2016,7,809,Sweetheart King,102,Providence,RI,2909,Best Available Rate
55,1/7/2016,26/08/2016,2,188,Upscale Jacuzzi King,111,Winter Haven,Fl,33881,Best Available Rate
56,1/7/2016,15/07/2016,4,251.2,King,205,Bellevue,WA,98004,Best Available Rate
57,1/7/2016,12/7/2016,2,148,Double ,208,Wädenswil,,8820,Best Available Rate
59,2/7/2016,6/8/2016,1,139,King,201,Oviedo,Fl,3279,Best Available Rate
64,2/7/2016,12/8/2016,2,264.28,Rubideaux Condo,Rub #4,Winter Haven,Fl,33880,Best Available Rate
65,2/7/2016,13/08/2016,5,401,Double ,104,Ridgeland,SC,29937,Best Available Rate
68,2/7/2016,26/08/2016,1,135,Rubideaux Condo,Rub #4,Lutz,Fl,33558,Best Available Rate
70,2/7/2016,8/9/2016,1,206,Premier King,110,Ne Port Richey,Fl,34652,Best Available Rate
71,2/7/2016,8/9/2016,2,169.5,King,204,Bellevue,WA,98004,Best Available Rate
72,2/7/2016,23/09/2016,4,452,Double ,101,East Haddam,,6423,Best Available Rate
73,2/7/2016,24/09/2016,1,103,Double ,108,Tampa,Fl,33626,Best Available Rate
76,2/7/2016,15/10/2016,3,447,Premier King,110,,IL,62712,Best Available Rate
77,2/7/2016,26/10/2016,1,81,King,212,Bellevue,WA,98004,Expedia
78,2/7/2016,26/10/2016,1,109,Upscale Jacuzzi King,111,State College,PA,16803-23118,Best Available Rate
81,2/7/2016,28/10/2016,2,236,Double ,206,Windermere,,34786,Best Available Rate
1674,18/11/2016,19/11/2016,1,79,Double ,101,Jacksonville,Fl,32258,Best Available Rate
85,2/7/2016,18/11/2016,1,93.8,Upscale King,112,Bellevue,WA,98004,Best Available Rate
3683,7/4/2017,6/5/2017,4,322,Premier King,105,Missoula,MT,59801,Best Available Rate
95,3/7/2016,20/10/2016,3,273.51,King,202,,,,Best Available Rate
331,31/07/2016,1/8/2016,4,316,Upscale King,112,Port St. Lucie,FL,34984,Best Available Rate
3595,1/4/2017,4/4/2017,1,113,Sweetheart King,102,Sarasota,FL,34231,Best Available Rate
13186,18/02/2019,18/02/2019,1,88,Double ,106,,,,Best Available Rate
2244,5/1/2017,6/1/2017,1,109,King,203,Tampa,FL,33606,Best Available Rate
107,4/7/2016,28/07/2016,3,279,Rubideaux Condo,Rub #4,Inverness,FL,34452,Best Available Rate
10005,3/9/2018,3/9/2018,1,78,Sweetheart King,102,Tampa,FL,33615,Best Available Rate
116,6/7/2016,30/07/2016,1,66.8,Double ,209,Bellevue,WA,98004,Best Available Rate
405,7/8/2016,7/8/2016,2,182,Sweetheart King,102,North Port,FL,34287,Best Available Rate
121,7/7/2016,21/07/2016,3,339,Double ,108,Davenport,FL,33897-2429,Best Available Rate
123,7/7/2016,14/07/2016,2,158,King,103,Westfield,NJ,7090,Best Available Rate
124,7/7/2016,31/07/2016,1,83,Double ,108,Bradenton 34203,FL,34203,Best Available Rate
127,9/7/2016,15/07/2016,3,242.01,Double ,104,Marco Island,Fl,34145,Best Available Rate
130,10/7/2016,22/07/2016,1,119,Upscale Jacuzzi King,111,Estero,Fl,33928,Best Available Rate
131,10/7/2016,15/07/2016,2,158,King,203,Tallahassee,Fl,32312,Best Available Rate
164,13/07/2016,13/10/2016,1,109,Premier King,110,,,,Best Available Rate
207,18/07/2016,18/07/2016,2,156,King,107,Key West,FL,33040,Best Available Rate
134,11/7/2016,12/7/2016,1,70,Double ,210,Mount Dora,FL,32757,Best Available Rate
136,11/7/2016,19/07/2016,3,258,King,203,Warner Robbins,GA,31088,Military Per Diem Rate
13082,12/2/2019,13/02/2019,1,98,Upscale King,112,Lakeland,FL,33805,Best Available Rate
294,28/07/2016,1/8/2016,4,296,Double ,109,Orlando,FL,32805,Best Available Rate
144,11/7/2016,29/08/2016,4,384,Sweetheart King,102,Orlando,FL,32808,Best Available Rate
145,11/7/2016,2/9/2016,3,258,Double ,206,Bellevue,WA,98004,Best Available Rate
146,11/7/2016,13/11/2016,1,108,Double ,101,Alhaurin De La Torre,,29130,Best Available Rate
147,11/7/2016,19/08/2016,2,204,Upscale Jacuzzi King,111,Winter Park,FL,32789,Best Available Rate
149,11/7/2016,17/07/2016,1,74,Double ,206,Lima,,L-33,Best Available Rate
151,12/7/2016,16/07/2016,1,63,Double ,208,Bellevue,WA,98004,Best Available Rate
153,12/7/2016,10/11/2016,4,279,Double ,208,Dunwoody,GA,30338,Best Available Rate
154,12/7/2016,15/07/2016,1,79,Double ,210,Spring Hill,FL,34606,Best Available Rate
719,29/08/2016,31/08/2016,1,74,King,107,pinellas park,fl,33781,Best Available Rate
156,12/7/2016,15/07/2016,1,79,Upscale Jacuzzi King,111,,,,Best Available Rate
