,reservation_no,room_no,total_nights,total_rate,avg_daily_rate,room_type,rate_type,booking_date,reservation_date,reservation_weekday,reservation_date_short
0,1,210,3,258.02,86.00666666666666,Double ,Best Available Rate,2016-06-28,2016-07-21,Thursday,"21, July"
1,1,210,3,258.02,86.00666666666666,Double ,Best Available Rate,2016-06-28,2016-07-22,Friday,"22, July"
2,1,210,3,258.02,86.00666666666666,Double ,Best Available Rate,2016-06-28,2016-07-23,Saturday,"23, July"
3,13,108,3,223.5,74.5,Double ,Best Available Rate,2016-06-28,2016-07-14,Thursday,"14, July"
4,13,108,3,223.5,74.5,Double ,Best Available Rate,2016-06-28,2016-07-15,Friday,"15, July"
5,13,108,3,223.5,74.5,Double ,Best Available Rate,2016-06-28,2016-07-16,Saturday,"16, July"
6,15,208,1,420.0,420.0,Double ,Best Available Rate,2016-06-28,2016-07-14,Thursday,"14, July"
7,16,107,1,66.8,66.8,King,Best Available Rate,2016-06-28,2016-07-16,Saturday,"16, July"
8,17,Rub #4,4,540.0,135.0,Rubideaux Condo,Best Available Rate,2016-06-28,2016-07-17,Sunday,"17, July"
9,17,Rub #4,4,540.0,135.0,Rubideaux Condo,Best Available Rate,2016-06-28,2016-07-18,Monday,"18, July"
10,17,Rub #4,4,540.0,135.0,Rubideaux Condo,Best Available Rate,2016-06-28,2016-07-19,Tuesday,"19, July"
11,17,Rub #4,4,540.0,135.0,Rubideaux Condo,Best Available Rate,2016-06-28,2016-07-20,Wednesday,"20, July"
12,18,106,3,258.0,86.0,Double ,Best Available Rate,2016-06-28,2016-07-21,Thursday,"21, July"
13,18,106,3,258.0,86.0,Double ,Best Available Rate,2016-06-28,2016-07-22,Friday,"22, July"
14,18,106,3,258.0,86.0,Double ,Best Available Rate,2016-06-28,2016-07-23,Saturday,"23, July"
15,19,105,3,283.82,94.60666666666667,Premier King,Best Available Rate,2016-06-28,2016-07-21,Thursday,"21, July"
16,19,105,3,283.82,94.60666666666667,Premier King,Best Available Rate,2016-06-28,2016-07-22,Friday,"22, July"
17,19,105,3,283.82,94.60666666666667,Premier King,Best Available Rate,2016-06-28,2016-07-23,Saturday,"23, July"
18,20,203,2,206.0,103.0,King,Best Available Rate,2016-06-28,2016-07-22,Friday,"22, July"
19,20,203,2,206.0,103.0,King,Best Available Rate,2016-06-28,2016-07-23,Saturday,"23, July"
20,1340,102,2,158.0,79.0,Sweetheart King,Best Available Rate,2016-10-17,2016-10-30,Sunday,"30, October"
21,1340,102,2,158.0,79.0,Sweetheart King,Best Available Rate,2016-10-17,2016-10-31,Monday,"31, October"
22,24,106,2,247.0,123.5,Double ,Best Available Rate,2016-06-28,2016-07-25,Monday,"25, July"
23,24,106,2,247.0,123.5,Double ,Best Available Rate,2016-06-28,2016-07-26,Tuesday,"26, July"
24,27,203,2,196.4,98.2,King,Best Available Rate,2016-06-28,2016-07-25,Monday,"25, July"
25,27,203,2,196.4,98.2,King,Best Available Rate,2016-06-28,2016-07-26,Tuesday,"26, July"
26,28,110,3,408.0,136.0,Premier King,Best Available Rate,2016-06-28,2016-07-25,Monday,"25, July"
27,28,110,3,408.0,136.0,Premier King,Best Available Rate,2016-06-28,2016-07-26,Tuesday,"26, July"
28,28,110,3,408.0,136.0,Premier King,Best Available Rate,2016-06-28,2016-07-27,Wednesday,"27, July"
29,30,107,2,196.4,98.2,King,Best Available Rate,2016-06-28,2016-07-25,Monday,"25, July"
30,30,107,2,196.4,98.2,King,Best Available Rate,2016-06-28,2016-07-26,Tuesday,"26, July"
31,31,101,2,208.6,104.3,Double ,Best Available Rate,2016-06-28,2016-07-25,Monday,"25, July"
32,31,101,2,208.6,104.3,Double ,Best Available Rate,2016-06-28,2016-07-26,Tuesday,"26, July"
33,33,209,1,119.0,119.0,Double ,Best Available Rate,2016-06-28,2016-07-26,Tuesday,"26, July"
34,34,205,1,119.0,119.0,King,Best Available Rate,2016-06-28,2016-07-26,Tuesday,"26, July"
35,7520,107,2,256.0,128.0,King,Best Available Rate,2018-02-06,2018-03-03,Saturday,"03, March"
36,7520,107,2,256.0,128.0,King,Best Available Rate,2018-02-06,2018-03-04,Sunday,"04, March"
37,37,203,1,109.0,109.0,King,Best Available Rate,2016-06-28,2016-07-30,Saturday,"30, July"
38,38,105,1,109.0,109.0,Premier King,Best Available Rate,2016-06-28,2016-07-31,Sunday,"31, July"
39,259,203,30,1200.0,40.0,King,Best Available Rate,2016-07-25,2016-08-01,Monday,"01, August"
40,259,203,30,1200.0,40.0,King,Best Available Rate,2016-07-25,2016-08-02,Tuesday,"02, August"
